variant,variant_slug,layer_name,layerwise_gradient_norm,layerwise_gradient_norm_std_over_batches,layerwise_gradient_std,layerwise_gradient_std_std_over_batches
PlainNet-HeInit,plainnet_he_init,stage2.3.conv2.weight,0.0046971103642135855,0.002006236252040788,4.795902423211373e-05,1.970443208637499e-05
PlainNet-HeInit,plainnet_he_init,stage2.4.conv1.weight,0.003967629978433251,0.0008685936768166231,4.10618944442831e-05,8.724048833401385e-06
PlainNet-HeInit,plainnet_he_init,stage2.4.conv2.weight,0.004642711533233523,0.0013269104667537309,4.807437289855443e-05,1.3579355372473924e-05
PlainNet-HeInit,plainnet_he_init,stage2.5.conv1.weight,0.005110267223790288,0.0016850987168308042,5.2808745749644004e-05,1.723067958292514e-05
PlainNet-HeInit,plainnet_he_init,stage2.5.conv2.weight,0.004530311282724142,0.0012012162610859271,4.69240010716021e-05,1.2377695425104216e-05
PlainNet-HeInit,plainnet_he_init,stage2.6.conv1.weight,0.0046589270699769255,0.0011624869921833517,4.827490520256106e-05,1.1981236135923484e-05
PlainNet-HeInit,plainnet_he_init,stage2.6.conv2.weight,0.005386658990755677,0.0015242692483641521,5.584161917795427e-05,1.5763956751075498e-05
PlainNet-HeInit,plainnet_he_init,stage2.7.conv1.weight,0.004700905457139015,0.0011708512277270602,4.8662263725418595e-05,1.1921995492204618e-05
PlainNet-HeInit,plainnet_he_init,stage2.7.conv2.weight,0.004639405757188797,0.0011922563844515325,4.771030871779658e-05,1.2125438337081144e-05
PlainNet-HeInit,plainnet_he_init,stage2.8.conv1.weight,0.004370052414014935,0.0010609434822312072,4.517483102972619e-05,1.0535679193582572e-05
PlainNet-HeInit,plainnet_he_init,stage2.8.conv2.weight,0.004588727420195937,0.0012608668597454424,4.745833211927675e-05,1.2703482581125209e-05
PlainNet-HeInit,plainnet_he_init,stage3.0.conv1.weight,0.004683465091511607,0.0012341910125684187,3.40403556037927e-05,8.717668976907256e-06
PlainNet-HeInit,plainnet_he_init,stage3.0.conv2.weight,0.0054083365015685555,0.00157342519413949,2.806690608849749e-05,8.092887728512976e-06
PlainNet-HeInit,plainnet_he_init,stage3.1.conv1.weight,0.00479798624292016,0.0012492812299458003,2.477898888173513e-05,6.2229154680260005e-06
PlainNet-HeInit,plainnet_he_init,stage3.1.conv2.weight,0.004843610292300582,0.0014179248128015137,2.5035181897692384e-05,7.294139914970171e-06
PlainNet-HeInit,plainnet_he_init,stage3.2.conv1.weight,0.0042612369172275065,0.0012062043601483198,2.2091451864980626e-05,6.172875748302491e-06
PlainNet-HeInit,plainnet_he_init,stage3.2.conv2.weight,0.003955360176041723,0.000976411832913932,2.027363734669052e-05,4.773591528967424e-06
PlainNet-HeInit,plainnet_he_init,stage3.3.conv1.weight,0.0038634087890386582,0.0010343226421006004,1.9952747970819472e-05,5.187440038031376e-06
