variant,variant_slug,layer_index,layer_name,activation_mean,activation_mean_std_over_batches,activation_std,activation_std_std_over_batches,zero_activation_ratio,zero_activation_ratio_std_over_batches
PlainNet-XavierInit,plainnet_xavier_init,14,stage1.6.relu2,0.0004819672147277743,1.7915181027967658e-05,0.0009769822470843792,4.386995147431818e-05,0.4955101013183594,0.0005923971230898878
PlainNet-XavierInit,plainnet_xavier_init,15,stage1.7.relu1,0.0003911061736289412,1.4343119995873333e-05,0.000879969890229404,3.897951856278554e-05,0.5231998443603516,0.0008541332921686239
PlainNet-XavierInit,plainnet_xavier_init,16,stage1.7.relu2,0.00035324228229001166,1.2992556808133189e-05,0.0005939946859143674,2.6473053396489005e-05,0.3527406692504883,0.0006204586632950573
PlainNet-XavierInit,plainnet_xavier_init,17,stage1.8.relu1,6.147173626231961e-05,2.2070158187389166e-06,0.0001655482832575217,6.877914806856001e-06,0.7180377960205078,0.0004645697549768729
PlainNet-XavierInit,plainnet_xavier_init,18,stage1.8.relu2,3.045665143872611e-05,1.0957851062103318e-06,6.826997851021588e-05,2.8244041698712884e-06,0.6244575500488281,0.000696516453203636
PlainNet-XavierInit,plainnet_xavier_init,19,stage2.0.relu1,2.11539172596531e-05,7.220888477716161e-07,4.029225237900391e-05,1.643385175841859e-06,0.5013175964355469,0.0005455009086976484
PlainNet-XavierInit,plainnet_xavier_init,20,stage2.0.relu2,1.3665525148098823e-05,4.568228407962485e-07,2.7701290309778415e-05,1.1077918064208504e-06,0.5764888763427735,0.001019456986302256
PlainNet-XavierInit,plainnet_xavier_init,21,stage2.1.relu1,6.40555917925667e-06,2.082728158758249e-07,1.3024935105931945e-05,5.011351990822518e-07,0.6006938934326171,0.0005013731368395112
PlainNet-XavierInit,plainnet_xavier_init,22,stage2.1.relu2,4.926932160742581e-06,1.5558826154131607e-07,8.770565182203427e-06,3.3920324325302926e-07,0.51234130859375,0.0003364740310805691
PlainNet-XavierInit,plainnet_xavier_init,23,stage2.2.relu1,3.4838742521969834e-06,1.1417841443915105e-07,5.524745392904151e-06,2.1972091270958413e-07,0.4531108856201172,0.0005426580831893262
PlainNet-XavierInit,plainnet_xavier_init,24,stage2.2.relu2,3.3163547868753084e-06,1.0749665813960611e-07,4.632945365301566e-06,1.8965487667179823e-07,0.3494571685791016,0.0007306090410807914
PlainNet-XavierInit,plainnet_xavier_init,25,stage2.3.relu1,2.3199776023830055e-06,7.435230649873795e-08,3.985112925875001e-06,1.5720314443701694e-07,0.4551670074462891,0.0003818235663631922
PlainNet-XavierInit,plainnet_xavier_init,26,stage2.3.relu2,1.0640679192874814e-06,3.2939258707702775e-08,2.1266413114062744e-06,8.288879857471474e-08,0.599951171875,0.0006316894489673721
PlainNet-XavierInit,plainnet_xavier_init,27,stage2.4.relu1,6.909117246323149e-07,2.175758584092554e-08,1.3878984418624896e-06,5.267206590252382e-08,0.5701499938964844,0.0007558102348406349
PlainNet-XavierInit,plainnet_xavier_init,28,stage2.4.relu2,5.288845045470225e-07,1.6126471025991378e-08,9.439549899070699e-07,3.5172954317911706e-08,0.5266899108886719,0.0008130348681943118
PlainNet-XavierInit,plainnet_xavier_init,29,stage2.5.relu1,3.2543368888582336e-07,9.685984012648792e-09,6.090654096624348e-07,2.274164319134228e-08,0.5366207122802734,0.0007140542684076418
PlainNet-XavierInit,plainnet_xavier_init,30,stage2.5.relu2,2.9879428780077434e-07,8.939226322998433e-09,4.79292538102527e-07,1.8046574325922118e-08,0.4260398864746094,0.0005361809074911675
PlainNet-XavierInit,plainnet_xavier_init,31,stage2.6.relu1,1.8380854953647941e-07,5.528865473621947e-09,3.4297972888452933e-07,1.2904066045545869e-08,0.5186542510986328,0.0003249696694776148
PlainNet-XavierInit,plainnet_xavier_init,32,stage2.6.relu2,1.2797673889508588e-07,3.7470333257702365e-09,2.108741966821981e-07,7.6426932982786e-09,0.4707927703857422,0.00047375253511165103
PlainNet-XavierInit,plainnet_xavier_init,33,stage2.7.relu1,9.166394789872357e-08,2.6265152742792865e-09,1.5029114877052053e-07,5.5041166191107755e-09,0.4471565246582031,0.0007021109649914618
PlainNet-XavierInit,plainnet_xavier_init,34,stage2.7.relu2,6.474353710927972e-08,1.8481327966137335e-09,1.0661565426062225e-07,3.926277549185494e-09,0.4587104797363281,0.0006740135044984283
PlainNet-XavierInit,plainnet_xavier_init,35,stage2.8.relu1,4.4188120540411544e-08,1.256085747676635e-09,7.693765553540289e-08,2.8233694985679462e-09,0.48531494140625,0.0002279561715891551
PlainNet-XavierInit,plainnet_xavier_init,36,stage2.8.relu2,2.2886290551582532e-08,6.530031068848739e-10,4.090025029768185e-08,1.4761025422822294e-09,0.5389686584472656,0.0007495141417622619
PlainNet-XavierInit,plainnet_xavier_init,37,stage3.0.relu1,1.2922494896372428e-08,3.573433841693895e-10,2.2745851069316815e-08,8.647469076278437e-10,0.5046791076660156,0.0006190331061835747
PlainNet-XavierInit,plainnet_xavier_init,38,stage3.0.relu2,9.400238276668916e-09,2.603990819743302e-10,1.5127377928081386e-08,5.854558685085517e-10,0.44725189208984373,0.0001940117677005775
PlainNet-XavierInit,plainnet_xavier_init,39,stage3.1.relu1,5.809564829206693e-09,1.6680579467222668e-10,1.0160574070994244e-08,4.0796574869071917e-10,0.5088104248046875,0.0005634740452569703
PlainNet-XavierInit,plainnet_xavier_init,40,stage3.1.relu2,2.9184354932709766e-09,8.138641167950532e-11,5.6584974039708415e-09,2.2045252657284976e-10,0.569744873046875,0.0004840031607879086
PlainNet-XavierInit,plainnet_xavier_init,41,stage3.2.relu1,2.143661648190687e-09,6.268225288473928e-11,3.4605198262482874e-09,1.416961339881708e-10,0.4894096374511719,0.0007147785884049787
PlainNet-XavierInit,plainnet_xavier_init,42,stage3.2.relu2,1.3504506846118148e-09,4.008204041994631e-11,2.203903992636924e-09,9.2587660481417e-11,0.49518508911132814,0.0002891470070335326
PlainNet-XavierInit,plainnet_xavier_init,43,stage3.3.relu1,9.19419818057321e-10,2.7040546629610714e-11,1.667906102120753e-09,7.012370550694388e-11,0.5162651062011718,0.00045885845242583343
PlainNet-XavierInit,plainnet_xavier_init,44,stage3.3.relu2,6.185797651880876e-10,1.8223644476430125e-11,1.0252448667813497e-09,4.375208535028049e-11,0.4883766174316406,0.0005136231700303414
PlainNet-XavierInit,plainnet_xavier_init,45,stage3.4.relu1,4.984773593896819e-10,1.5235636607922744e-11,7.960761827519036e-10,3.519558809425821e-11,0.442547607421875,0.00038128199726425763
PlainNet-XavierInit,plainnet_xavier_init,46,stage3.4.relu2,2.6437223521469376e-10,8.063084527543695e-12,4.571842127099046e-10,2.021909505171247e-11,0.5222122192382812,0.0002565156295491955
PlainNet-XavierInit,plainnet_xavier_init,47,stage3.5.relu1,1.7273234509396217e-10,5.140453318724632e-12,2.814629140868163e-10,1.2782137184523387e-11,0.48244781494140626,0.0007833697945535362
PlainNet-XavierInit,plainnet_xavier_init,48,stage3.5.relu2,8.469124151977425e-11,2.6180066397786452e-12,1.62860364083528e-10,7.187407704633647e-12,0.5784866333007812,0.00044787470187579985
PlainNet-XavierInit,plainnet_xavier_init,49,stage3.6.relu1,7.146713221217737e-11,2.2013448684705763e-12,1.0882221929131574e-10,5.076202073675356e-12,0.4388404846191406,0.0005296503501990909
PlainNet-XavierInit,plainnet_xavier_init,50,stage3.6.relu2,5.084249132814023e-11,1.5859826961563203e-12,8.175131821497317e-11,3.714529709000235e-12,0.4773834228515625,0.00030640735075021964
PlainNet-XavierInit,plainnet_xavier_init,51,stage3.7.relu1,3.412223628651567e-11,1.0306107721062706e-12,5.4689205247759884e-11,2.458254381108447e-12,0.4620323181152344,0.0003420232976535304
PlainNet-XavierInit,plainnet_xavier_init,52,stage3.7.relu2,2.1607921008026665e-11,6.581691494125074e-13,3.332903328323589e-11,1.5693900949982368e-12,0.47446441650390625,0.00039968853545856343
PlainNet-XavierInit,plainnet_xavier_init,53,stage3.8.relu1,1.4114445896773464e-11,4.4104558717148485e-13,2.4322491243289334e-11,1.1139765595991653e-12,0.5021095275878906,0.00047770611741032685
PlainNet-XavierInit,plainnet_xavier_init,54,stage3.8.relu2,9.712860030153258e-12,2.9909361005187235e-13,1.690566575618391e-11,7.659877411025848e-13,0.49467926025390624,0.0004763846730068708
PlainNet-HeInit,plainnet_he_init,0,stem.relu,0.1791003167629242,0.00678381879305196,0.299211311340332,0.011173284717395503,0.5064741134643554,0.006304981580233662
PlainNet-HeInit,plainnet_he_init,1,stage1.0.relu1,0.18376970291137695,0.007529468022190223,0.2929470479488373,0.011066277114099382,0.48475208282470705,0.0013506009069748884
PlainNet-HeInit,plainnet_he_init,2,stage1.0.relu2,0.17152405083179473,0.007704119742005481,0.3228423953056335,0.013455503007524492,0.5736003875732422,0.0017562061659267588
PlainNet-HeInit,plainnet_he_init,3,stage1.1.relu1,0.10746812522411346,0.004473660592023271,0.19530876278877257,0.007157505312105322,0.5662647247314453,0.0017107732385202292
PlainNet-HeInit,plainnet_he_init,4,stage1.1.relu2,0.11961552947759628,0.005197067083780471,0.2069810926914215,0.008734530482360335,0.5231618881225586,0.004820047857567676
PlainNet-HeInit,plainnet_he_init,5,stage1.2.relu1,0.10595344603061677,0.004381651918045305,0.20181524753570557,0.009112968854489499,0.5273336410522461,0.002010222273785737
PlainNet-HeInit,plainnet_he_init,6,stage1.2.relu2,0.12115604132413864,0.005012006225150135,0.1960310459136963,0.008822841003486837,0.43007831573486327,0.0008968022663702904
PlainNet-HeInit,plainnet_he_init,7,stage1.3.relu1,0.07591887712478637,0.002970694289697212,0.15972303450107575,0.0063084193307785235,0.6631471633911132,0.0011650268126069147
PlainNet-HeInit,plainnet_he_init,8,stage1.3.relu2,0.07826226800680161,0.0029468062752457517,0.14088273644447327,0.005708713303136533,0.5048709869384765,0.0013934976852470245
PlainNet-HeInit,plainnet_he_init,9,stage1.4.relu1,0.07298193126916885,0.002691893755123261,0.13784807026386262,0.005848521042526157,0.5178632736206055,0.000679650706666929
PlainNet-HeInit,plainnet_he_init,10,stage1.4.relu2,0.08094476610422134,0.003014825501169731,0.1630140721797943,0.006952766525695283,0.5828367233276367,0.0010246577226520873
PlainNet-HeInit,plainnet_he_init,11,stage1.5.relu1,0.11293679177761078,0.004369395604523819,0.19494472146034242,0.008844650818339739,0.4459983825683594,0.0004698308823409704
PlainNet-HeInit,plainnet_he_init,12,stage1.5.relu2,0.0754437118768692,0.0028936662888672934,0.15282825231552125,0.006904932246942475,0.5486919403076171,0.00036220013181086205
PlainNet-HeInit,plainnet_he_init,13,stage1.6.relu1,0.07143802493810654,0.0026937231644638513,0.1267326906323433,0.0057771629299434735,0.4587078094482422,0.0006549516935619595
PlainNet-HeInit,plainnet_he_init,14,stage1.6.relu2,0.06722706705331802,0.0024988926130882386,0.13627409934997559,0.006119192531184895,0.4955099105834961,0.0005923997023525363
PlainNet-HeInit,plainnet_he_init,15,stage1.7.relu1,0.07715007215738297,0.002829342526965911,0.1735839068889618,0.0076891471969568045,0.5231998443603516,0.0008541332921686239
PlainNet-HeInit,plainnet_he_init,16,stage1.7.relu2,0.09854379743337631,0.0036245239390093865,0.16570635735988617,0.007385174060948385,0.3527406692504883,0.0006204586632950573
PlainNet-HeInit,plainnet_he_init,17,stage1.8.relu1,0.024251972883939744,0.0008707167266266302,0.06531249582767487,0.0027134901658259518,0.7180377960205078,0.00046453960520332076
PlainNet-HeInit,plainnet_he_init,18,stage1.8.relu2,0.016992948576807977,0.000611380687424552,0.03809047043323517,0.0015758453330572332,0.6244569778442383,0.0006965217285200535
PlainNet-HeInit,plainnet_he_init,19,stage2.0.relu1,0.014455163292586804,0.00049342783620971,0.02753301225602627,0.001122979023493229,0.5013175964355469,0.0005466587626877531
PlainNet-HeInit,plainnet_he_init,20,stage2.0.relu2,0.01320606842637062,0.00044146422440074416,0.026769927889108657,0.0010705457041852732,0.5764884948730469,0.0010194074536851265
PlainNet-HeInit,plainnet_he_init,21,stage2.1.relu1,0.00875425674021244,0.0002846395791736352,0.01780073009431362,0.0006848846284450683,0.6006942749023437,0.0005017703197512224
