model_type,beta,depth,run_seed,lag,acf_value,gradient_norm,gradient_std,collapse_flag
feedforward,,2,17,4,0.7507698955293618,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,5,0.6868049260192366,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,6,0.6270152609461623,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,7,0.5669659679865933,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,8,0.507254991269352,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,9,0.4457421831070898,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,10,0.38761122299635387,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,11,0.3266449531599093,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,12,0.2770084482005674,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,13,0.23845749187311915,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,14,0.2034769186860057,19.818741013468575,0.49003015787358406,False
feedforward,,2,17,15,0.16764769089999335,19.818741013468575,0.49003015787358406,False
feedforward,,2,18,0,1.0,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,1,0.9576348167728143,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,2,0.9071897413070931,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,3,0.8502781483054985,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,4,0.7788815122931076,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,5,0.7080757102930026,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,6,0.6367983899208657,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,7,0.5570225123836897,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,8,0.4843909773862416,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,9,0.41001528770660567,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,10,0.32986756451719573,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,11,0.25925736949111566,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,12,0.18924044427858253,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,13,0.12469050515779803,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,14,0.06416537745806652,10.804051323433063,0.6301851106158838,False
feedforward,,2,18,15,0.010726422670647865,10.804051323433063,0.6301851106158838,False
feedforward,,2,19,0,1.0,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,1,0.9430595755208625,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,2,0.883902644565836,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,3,0.8395569085138639,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,4,0.7887022545929924,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,5,0.7395624989159016,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,6,0.6896265415582493,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,7,0.6357747155942514,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,8,0.5754705911042197,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,9,0.5268212864713313,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,10,0.5029548717599641,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,11,0.47906335510989123,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,12,0.4716785997736009,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,13,0.48584141596372393,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,14,0.48116295834606204,12.440147363266819,0.6410264123581918,False
feedforward,,2,19,15,0.4732053560972712,12.440147363266819,0.6410264123581918,False
feedforward,,4,0,0,1.0,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,1,0.955431530222708,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,2,0.9049544300459792,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,3,0.8480330259056674,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,4,0.7850731532033474,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,5,0.729111574881383,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,6,0.6817029803753277,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,7,0.6435498145629364,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,8,0.6133608833686209,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,9,0.5873997629208313,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,10,0.5645898057902626,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,11,0.5554819348723857,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,12,0.5533577441311806,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,13,0.5547763344406077,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,14,0.5503637047825102,19.22442987961442,1.0430601892487223,False
feedforward,,4,0,15,0.5404202863638063,19.22442987961442,1.0430601892487223,False
feedforward,,4,1,0,1.0,16.229345015420428,0.8596527717454151,False
feedforward,,4,1,1,0.9570379587227331,16.229345015420428,0.8596527717454151,False
feedforward,,4,1,2,0.9067390149767215,16.229345015420428,0.8596527717454151,False
feedforward,,4,1,3,0.8677146680007638,16.229345015420428,0.8596527717454151,False
feedforward,,4,1,4,0.8258735967069311,16.229345015420428,0.8596527717454151,False
feedforward,,4,1,5,0.7805199140678538,16.229345015420428,0.8596527717454151,False
feedforward,,4,1,6,0.7342023376580384,16.229345015420428,0.8596527717454151,False
feedforward,,4,1,7,0.6979781862896044,16.229345015420428,0.8596527717454151,False
feedforward,,4,1,8,0.6748460922820987,16.229345015420428,0.8596527717454151,False
feedforward,,4,1,9,0.6534504665993276,16.229345015420428,0.8596527717454151,False
feedforward,,4,1,10,0.6219076529591854,16.229345015420428,0.8596527717454151,False
feedforward,,4,1,11,0.5791950965244088,16.229345015420428,0.8596527717454151,False
