model_type,beta,depth,lag,acf_mean,acf_std,valid_runs,collapsed_runs
resnet,1.0,2,5,0.8058927159460731,0.12230033011736521,20,0
resnet,1.0,2,6,0.768584733783485,0.14268991620660001,20,0
resnet,1.0,2,7,0.7322055904058845,0.16128603126002358,20,0
resnet,1.0,2,8,0.6993814942141332,0.17600704108895132,20,0
resnet,1.0,2,9,0.6724472947596285,0.18695782383529524,20,0
resnet,1.0,2,10,0.6437580961065124,0.19811002284735021,20,0
resnet,1.0,2,11,0.6113888212050285,0.21190424096785965,20,0
resnet,1.0,2,12,0.5770073988502563,0.22555384483468752,20,0
resnet,1.0,2,13,0.5440875943073468,0.2408619686931534,20,0
resnet,1.0,2,14,0.5095562293158874,0.2562952820279581,20,0
resnet,1.0,2,15,0.4776354773783865,0.268469787009208,20,0
resnet,1.0,4,0,1.0,0.0,20,0
resnet,1.0,4,1,0.9551914587379686,0.023236105757736172,20,0
resnet,1.0,4,2,0.911535322612177,0.043916331701479454,20,0
resnet,1.0,4,3,0.873762024957561,0.055761757660909454,20,0
resnet,1.0,4,4,0.8348710819017471,0.06966150040449287,20,0
resnet,1.0,4,5,0.7930780835691914,0.08603193246362856,20,0
resnet,1.0,4,6,0.7546674135489446,0.09979668390324217,20,0
resnet,1.0,4,7,0.7199613549108759,0.11036115357116716,20,0
resnet,1.0,4,8,0.6858590270577511,0.12045658210479078,20,0
resnet,1.0,4,9,0.6501435853902402,0.1341881304956876,20,0
resnet,1.0,4,10,0.6142060368097593,0.14534081579608737,20,0
resnet,1.0,4,11,0.581979548941802,0.15253785509104378,20,0
resnet,1.0,4,12,0.5495867552127619,0.15991600074146356,20,0
resnet,1.0,4,13,0.5198441932039506,0.16483642970215928,20,0
resnet,1.0,4,14,0.4898565038438085,0.16870295325425894,20,0
resnet,1.0,4,15,0.45886105668242516,0.17162221232002356,20,0
resnet,1.0,10,0,1.0,0.0,20,0
resnet,1.0,10,1,0.9405615339632412,0.022111036017519365,20,0
resnet,1.0,10,2,0.8824775662264347,0.04545127303767948,20,0
resnet,1.0,10,3,0.8299785016900738,0.0656514843962692,20,0
resnet,1.0,10,4,0.7764779755870433,0.08674509931725505,20,0
resnet,1.0,10,5,0.7275082628868967,0.10609156601970711,20,0
resnet,1.0,10,6,0.6772208815517944,0.12658098580197297,20,0
resnet,1.0,10,7,0.6281541410076934,0.14495860993100285,20,0
resnet,1.0,10,8,0.5849436451227762,0.15970649914191423,20,0
resnet,1.0,10,9,0.5439539478962528,0.17033639614772775,20,0
resnet,1.0,10,10,0.5034855041513635,0.1813759694926134,20,0
resnet,1.0,10,11,0.46429739057035474,0.19343600692255658,20,0
resnet,1.0,10,12,0.42688466237715766,0.197061277312717,20,0
resnet,1.0,10,13,0.3905736736539958,0.19793359470053581,20,0
resnet,1.0,10,14,0.3573831620792016,0.19903555855525665,20,0
resnet,1.0,10,15,0.3270056308042378,0.20029418830076223,20,0
resnet,1.0,24,0,1.0,0.0,20,0
resnet,1.0,24,1,0.9157935407824643,0.032836120190537645,20,0
resnet,1.0,24,2,0.8438589278601801,0.054902606905770666,20,0
resnet,1.0,24,3,0.7738100682273643,0.0770923589824683,20,0
resnet,1.0,24,4,0.7105418874511276,0.09894390125459734,20,0
resnet,1.0,24,5,0.6524215012808465,0.11301092861499865,20,0
