model,model_slug,depth,seed,batch_index,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15
PlainNet,plain,56,0,1,1.0,1.1751395251993698e-34,1.033407693304274e-34,9.024767606093748e-35,7.784388823481133e-35,6.691388254698939e-35,5.663091681602401e-35,4.679368106622092e-35,3.848021553517483e-35,3.15452529424135e-35,2.3923677681784036e-35,1.8129652406249276e-35,1.2382203113440384e-35,7.904836046091234e-36,4.312345605242668e-36,1.4266841790177139e-36
PlainNet,plain,56,0,2,1.0,1.2650755456313844e-34,1.1166531056357544e-34,9.753931463970874e-35,8.382554463771739e-35,7.342129829563263e-35,6.18276440145076e-35,5.104284491819585e-35,4.2738209947984663e-35,3.4744312990881927e-35,2.781341045212022e-35,2.0118647635033732e-35,1.5157815886428549e-35,1.004620486622627e-35,6.047156952070393e-36,2.6890414299919425e-36
PlainNet,plain,56,0,3,1.0,1.2170191554992737e-34,1.0893398880786253e-34,9.327385149783132e-35,8.041273632138214e-35,6.81168882989091e-35,5.827039877077142e-35,4.824491707267053e-35,3.90358923640843e-35,3.226387465995074e-35,2.472451217974018e-35,1.843262429913656e-35,1.289298901045052e-35,8.375663076556973e-36,4.596210757667015e-36,2.177057954982538e-36
PlainNet,plain,56,0,4,1.0,1.129183328683195e-34,9.973579944654253e-35,8.554547043453318e-35,7.24915421739356e-35,6.190493121205302e-35,5.094964967152079e-35,4.3111502358405e-35,3.4859326070631424e-35,2.7365774160467935e-35,2.1482357841281447e-35,1.6280563522753865e-35,1.1682774812638853e-35,7.982571438217585e-36,5.359880514430263e-36,2.5918150584435186e-36
Standard ResNet,resnet,56,0,0,1.0,0.2722452340104098,0.24225045240842225,0.13864409527992508,0.30384270215138964,0.11609662502567261,0.12367553275416902,0.07097563315068667,0.19707301762125914,0.07195399227189501,0.08187946063859171,0.04675303588192767,0.1426789137027495,0.04744119409614475,0.057829552327441504,0.027525872537170478
Standard ResNet,resnet,56,0,1,1.0,0.2677372986463326,0.24236552119175803,0.1448207612908185,0.29482125080856614,0.10740422349497941,0.12298661500019586,0.07071376456371578,0.19348404667664493,0.06510847197743999,0.07772002252232957,0.04151659549585801,0.13495317900915044,0.044222716006155724,0.05167404093281799,0.02803116392787291
Standard ResNet,resnet,56,0,2,1.0,0.27822732594242594,0.24394704908777404,0.13948816728460517,0.2940359663550187,0.10765919784293544,0.12171645859124945,0.07234205080859918,0.19921503415388347,0.07161544581496743,0.08645916702673435,0.048712698181436545,0.14707306783080057,0.0505228758955082,0.05813305746489053,0.03162605595065258
Standard ResNet,resnet,56,0,3,1.0,0.26507188527244163,0.2266788730544368,0.13585113278172414,0.3084769265977575,0.1089463248349827,0.11081857049259715,0.06774675876728171,0.20369930062939398,0.06866317245374441,0.0761985095496858,0.047872978120945986,0.15302312317128228,0.05246990000353596,0.05633266089016829,0.032441043984314966
Standard ResNet,resnet,56,0,4,1.0,0.25725153697532144,0.23456035628737365,0.1348568031817357,0.3092592910502493,0.10893328902167398,0.12459714721384837,0.07221420852641244,0.2130708683506372,0.07230939867862518,0.08659883424932387,0.04847454825673883,0.15465903403293163,0.05159832221437874,0.05855677654843929,0.029237969434490585
PreAct ResNet,preact,56,0,0,1.0,0.2722428956782622,0.24223981776063125,0.13862942298362274,0.3038327160429122,0.11608048091361381,0.12367358063880222,0.07097471313334232,0.19707163026870458,0.07195241958768417,0.08186438395286122,0.046742021293691746,0.14267698611336135,0.04743678600530893,0.05782253988293565,0.027519949470451086
PreAct ResNet,preact,56,0,1,1.0,0.2677305499609558,0.24234547629720843,0.14481321924675467,0.29481588947951215,0.10740832049506507,0.12297264098931053,0.07071923324152976,0.1934838457869361,0.06509982236647839,0.07771239383176193,0.04152034804618558,0.1349512663687204,0.04422317219596504,0.0516684736976277,0.02803164930683166
PreAct ResNet,preact,56,0,2,1.0,0.27823917597000336,0.2439651792251033,0.13950368285486045,0.2940508737082427,0.1076656968393396,0.12173360202048736,0.07235196317749747,0.199226236434898,0.0716279275032573,0.08646682366623004,0.04871640805781209,0.14705719322390626,0.050515856595755276,0.05811212117463577,0.0316298597798013
PreAct ResNet,preact,56,0,3,1.0,0.2650533394500737,0.2266765342837694,0.13583903261209745,0.30845952412559324,0.10894958056289049,0.11083519571558481,0.06775686762411956,0.20369279702473803,0.06865838696806448,0.07621926390126105,0.04789318225279508,0.15303112721674758,0.05247670417674319,0.056338824412867354,0.03245380663234947
PreAct ResNet,preact,56,0,4,1.0,0.2572443069007698,0.23456975972837468,0.1348546854661204,0.3092498636925836,0.10893323049009213,0.12460207603278758,0.07221818864837168,0.21306692445822423,0.07230397261216417,0.08659736081569669,0.04846933967401678,0.15465787165495976,0.05159487918580509,0.05855477622577794,0.029240410760943157
ScaledShortcut lambda=1.0,scaled_l1p0,56,0,0,1.0,0.2722452292856437,0.2422504451914762,0.13864408853093224,0.3038427010137027,0.11609661873957675,0.12367552933642628,0.07097562497262125,0.19707300656858984,0.0719539826079047,0.08187945747669084,0.046753038467545624,0.142678911541829,0.04744119808426663,0.05782955357850299,0.027525873369562956
ScaledShortcut lambda=1.0,scaled_l1p0,56,0,1,1.0,0.26773729211261965,0.2423655241691548,0.14482076311633194,0.2948212568447679,0.10740422233946392,0.12298662859916604,0.07071376650832292,0.19348405174288308,0.0651084682454678,0.07772002565029543,0.04151659288884796,0.13495318029787123,0.044222723867693166,0.05167405155736412,0.028031166176226925
ScaledShortcut lambda=1.0,scaled_l1p0,56,0,2,1.0,0.2782273302339575,0.24394705542073356,0.13948816513426782,0.2940359624094765,0.10765919883562228,0.1217164611978786,0.07234204380719675,0.19921502336217753,0.07161544326158664,0.08645916621198502,0.048712693372782084,0.14707306744925602,0.05052287440797997,0.05813305569877353,0.031626060166469405
ScaledShortcut lambda=1.0,scaled_l1p0,56,0,3,1.0,0.2650718911841483,0.22667886784607694,0.13585112755249631,0.3084769235053199,0.10894632172506524,0.11081855700232485,0.0677467562995388,0.20369929954677823,0.0686631745315806,0.07619850606567188,0.047872978644627424,0.15302312146895725,0.05246990647203361,0.056332660038441895,0.03244104555524753
ScaledShortcut lambda=1.0,scaled_l1p0,56,0,4,1.0,0.2572515353636157,0.23456035390185492,0.13485679854597976,0.3092592867411317,0.10893328629254659,0.12459714684427703,0.0722142067612852,0.21307086693308092,0.07230940013263398,0.08659883194507917,0.04847454794180465,0.1546590315999421,0.05159831878927917,0.05855677561673288,0.02923797399472084
